type	conf	expFolder	map	expNumber	targetFound	exploredArea	takeoffsCount	actionsTotal	actionsCount	actionSequence
real	conf7.1	Exp-22-09-08	map-16BD	1	1	100.0	2	27	[1, 0, 23, 3, 0]	[3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2]
real	conf7.1	Exp-22-09-08	map-16BD	2	1	100.0	3	37	[2, 2, 25, 8, 0]	[1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 3, 3, 2, 0, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 3, 2, 2, 2]
real	conf7.1	Exp-22-09-08	map-16BD	3	1	89.1	3	43	[1, 0, 25, 17, 0]	[2, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 2, 2, 2, 3, 3, 2, 3, 3, 0, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2]
real	conf8	Exp-22-09-01	map-16A	0	1	73.17	4	40	[1, 1, 27, 10, 1]	[3, 2, 2, 2, 2, 2, 2, 3, 0, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 3, 2, 2, 4, 1, 3, 2]
real	conf8	Exp-22-09-01	map-16AD	0	1	99.36	2	40	[0, 1, 26, 11, 2]	[2, 3, 2, 2, 2, 2, 2, 4, 2, 2, 3, 2, 2, 1, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 4, 2, 3, 2]
real	conf8	Exp-22-09-01	map-16B	0	0	75.61	6	49	[3, 1, 34, 10, 1]	[2, 2, 2, 0, 2, 2, 2, 2, 2, 4, 2, 3, 1, 3, 0, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 0, 2, 3, 2, 3, 3, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3]
real	conf8	Exp-22-09-01	map-16BD	0	0	14.74	1	8	[0, 0, 4, 3, 1]	[2, 3, 3, 2, 2, 2, 3, 4]
real	conf8	Exp-22-09-01	map-16BD	1	0	66.67	5	29	[2, 3, 21, 2, 1]	[2, 1, 3, 2, 2, 0, 2, 2, 4, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 3, 2, 2]
real	conf8	Exp-22-09-08	map-16A	0	1	66.46	7	44	[4, 2, 23, 11, 4]	[2, 0, 0, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 3, 2, 4, 2, 1, 3, 2, 3, 4, 4, 2, 3, 3, 0, 2, 0, 2, 1, 3, 3, 2, 2, 3, 2, 2, 2, 4, 2, 3, 2]
real	conf8	Exp-22-09-08	map-16A	1	1	95.12	8	48	[4, 1, 30, 10, 3]	[3, 3, 3, 2, 2, 0, 2, 2, 2, 2, 3, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 3, 4, 3, 4, 2, 2, 3, 3, 3, 0, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 0, 2, 2, 2, 0]
real	conf8	Exp-22-09-08	map-16A	2	1	97.56	5	45	[1, 4, 24, 11, 5]	[0, 3, 3, 4, 2, 3, 2, 2, 4, 2, 2, 1, 2, 2, 2, 2, 3, 4, 4, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 3, 3, 3, 2, 2, 2, 3, 2, 2, 1, 2, 1, 3, 4, 3, 2]
real	conf8	Exp-22-09-08	map-16AD	0	1	53.85	14	67	[5, 5, 32, 16, 9]	[3, 0, 2, 0, 2, 3, 4, 3, 1, 4, 3, 2, 2, 1, 2, 2, 0, 3, 3, 1, 3, 2, 3, 2, 2, 2, 3, 2, 2, 2, 0, 2, 3, 2, 4, 0, 2, 2, 2, 4, 2, 2, 2, 3, 4, 3, 2, 4, 2, 2, 1, 2, 2, 2, 2, 2, 4, 3, 2, 4, 3, 4, 2, 1, 2, 3, 3]
real	conf8	Exp-22-09-08	map-16AD	1	1	82.69	9	54	[6, 3, 25, 16, 4]	[0, 2, 2, 2, 2, 3, 2, 4, 3, 2, 2, 2, 2, 2, 3, 2, 2, 4, 2, 3, 0, 3, 3, 2, 3, 2, 1, 0, 3, 0, 0, 3, 3, 3, 2, 2, 3, 0, 2, 3, 4, 1, 2, 3, 2, 2, 4, 3, 1, 3, 2, 2, 2, 2]
real	conf8	Exp-22-09-08	map-16AD	2	1	66.03	10	55	[8, 3, 27, 12, 5]	[2, 3, 0, 2, 2, 2, 2, 2, 2, 4, 3, 2, 0, 0, 2, 2, 0, 3, 2, 3, 3, 2, 2, 2, 3, 2, 2, 3, 1, 2, 2, 4, 0, 2, 0, 2, 3, 4, 3, 2, 2, 2, 0, 3, 2, 0, 4, 1, 2, 3, 3, 1, 2, 2, 4]
real	conf8	Exp-22-09-08	map-16B	0	0	85.98	7	51	[2, 1, 30, 14, 4]	[2, 2, 2, 3, 2, 3, 3, 2, 2, 3, 2, 2, 2, 4, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 2, 3, 1, 4, 2, 2, 2, 2, 2, 4, 2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 3, 2, 2, 3, 2, 4]
real	conf8	Exp-22-09-08	map-16B	1	0	67.68	5	44	[2, 1, 20, 17, 4]	[3, 3, 2, 2, 2, 2, 2, 3, 2, 0, 4, 1, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 4, 3, 3, 3, 2, 2, 2, 4, 4, 2, 2, 2, 3, 2, 3, 2, 2, 0, 2, 2, 3]
real	conf8	Exp-22-09-08	map-16B	2	1	78.05	7	44	[3, 3, 24, 9, 5]	[2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 2, 4, 0, 3, 2, 2, 3, 2, 2, 4, 1, 2, 2, 3, 2, 2, 4, 2, 1, 2, 2, 4, 2, 2, 0, 2, 1, 3, 2, 4, 3, 2, 2, 0]
real	conf8	Exp-22-09-08	map-16B	3	0	55.49	8	42	[4, 4, 19, 13, 2]	[2, 2, 2, 0, 2, 3, 2, 1, 2, 3, 3, 1, 2, 2, 2, 4, 1, 3, 1, 2, 0, 2, 3, 3, 0, 2, 2, 3, 3, 3, 3, 4, 2, 3, 2, 2, 2, 3, 2, 3, 2, 0]
real	conf8	Exp-22-09-08	map-16BD	0	1	100.0	7	49	[5, 2, 24, 16, 2]	[3, 2, 3, 4, 3, 3, 2, 0, 4, 3, 2, 0, 3, 0, 3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 0, 3, 1, 3, 2, 2, 2, 2, 0, 3, 2, 2, 2, 2, 1, 3, 2, 3, 2, 2, 2, 3, 2, 3, 2]
real	conf8	Exp-22-09-08	map-16BD	1	1	100.0	3	35	[0, 0, 27, 7, 1]	[2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 2, 2, 3, 4, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3]
real	conf8	Exp-22-09-08	map-16BD	2	1	93.59	7	55	[5, 4, 28, 16, 2]	[2, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 0, 2, 2, 2, 3, 2, 0, 3, 3, 2, 3, 2, 2, 2, 3, 3, 0, 3, 1, 3, 3, 2, 3, 3, 1, 0, 2, 2, 0]
real	conf8	Exp-22-09-08	map-16BD	3	1	95.51	7	50	[3, 5, 32, 8, 2]	[2, 3, 3, 2, 4, 2, 2, 3, 2, 3, 0, 2, 2, 2, 1, 0, 2, 2, 4, 3, 2, 3, 2, 2, 2, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 1, 1]
real	conf8.1	Exp-22-09-01	map-16A	0	1	45.73	7	48	[5, 4, 25, 12, 2]	[2, 2, 2, 3, 2, 3, 3, 2, 0, 3, 2, 2, 2, 2, 3, 2, 1, 4, 2, 3, 2, 4, 2, 3, 1, 2, 2, 1, 2, 3, 2, 0, 0, 2, 1, 2, 2, 0, 3, 0, 2, 2, 3, 2, 2, 3, 3, 2]
real	conf8.1	Exp-22-09-01	map-16AD	0	1	66.03	6	43	[4, 3, 19, 15, 2]	[2, 2, 2, 2, 3, 0, 3, 2, 3, 3, 2, 4, 3, 3, 2, 3, 2, 2, 3, 2, 1, 3, 2, 1, 3, 3, 2, 4, 2, 2, 3, 1, 0, 0, 2, 3, 2, 2, 2, 3, 2, 3, 0]
real	conf8.1	Exp-22-09-01	map-16B	0	0	82.32	8	48	[5, 2, 31, 8, 2]	[3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3, 2, 3, 4, 2, 0, 2, 2, 2, 1, 3, 2, 3, 2, 2, 1, 3, 2, 0, 0, 2, 0, 2, 2, 2, 0, 2, 2]
real	conf8.1	Exp-22-09-01	map-16BD	0	0	63.46	8	60	[6, 3, 30, 18, 3]	[2, 2, 2, 2, 3, 3, 0, 2, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 4, 3, 0, 2, 2, 0, 4, 3, 3, 2, 4, 2, 0, 2, 3, 1, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 1, 3, 0, 3, 3, 3, 0]
