type	conf	expFolder	map	expNumber	targetFound	exploredArea	takeoffsCount	actionsTotal	actionsCount	actionSequence
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	8	1	71.95	3	70	[5, 1, 46, 13, 5]	[2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 3, 2, 0, 3, 2, 2, 3, 2, 3, 0, 2, 2, 3, 2, 2, 0, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 4, 2, 3, 2, 4, 4, 2, 2, 2, 2, 2, 2, 3, 1, 3, 4, 2, 0, 2, 4, 3, 2, 3, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	9	1	100.0	5	64	[3, 3, 38, 19, 1]	[2, 3, 1, 3, 3, 3, 2, 3, 3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 0, 2, 2, 2, 2, 3, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 3, 3, 2, 2, 3, 2, 2, 2, 3, 3, 4, 2, 2, 3, 3, 2, 2, 2, 3, 3, 1, 2, 2, 3, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	10	0	0.0	0	71	[9, 3, 43, 14, 2]	[2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 4, 2, 3, 2, 0, 3, 3, 2, 1, 2, 2, 2, 2, 2, 0, 2, 3, 2, 2, 3, 0, 2, 3, 2, 2, 1, 2, 2, 2, 3, 2, 3, 2, 2, 0, 2, 3, 0, 2, 2, 0, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 3, 4, 2, 2, 2, 0, 2, 0]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16A	11	0	0.0	0	71	[4, 2, 36, 27, 2]	[3, 2, 3, 2, 2, 2, 3, 2, 3, 3, 2, 2, 2, 0, 2, 3, 3, 4, 2, 3, 3, 3, 2, 2, 2, 3, 3, 2, 2, 1, 2, 3, 3, 0, 2, 2, 2, 2, 3, 3, 2, 3, 3, 0, 2, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 4, 2, 2, 3, 0, 3, 2, 3, 2, 2, 2, 3, 3, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	0	1	100.0	2	57	[2, 2, 40, 11, 2]	[1, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 3, 0, 2, 2, 2, 4, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 1, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	1	1	80.13	1	68	[1, 0, 54, 13, 0]	[2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 0, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	2	1	48.08	2	66	[3, 1, 45, 15, 2]	[2, 2, 2, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 3, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 4, 2, 0, 2, 2, 2, 0, 3, 0, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	3	1	100.0	6	51	[2, 1, 36, 9, 3]	[3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 4, 2, 2, 3, 2, 3, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 3, 0, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1, 4, 2, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	4	1	100.0	4	40	[2, 1, 30, 5, 2]	[2, 2, 2, 2, 4, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 1, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 3, 4, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	5	1	100.0	2	54	[1, 0, 38, 14, 1]	[2, 2, 3, 2, 3, 2, 2, 2, 2, 0, 2, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 4, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 2, 2, 2, 3, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	6	1	100.0	2	47	[0, 2, 32, 12, 1]	[2, 2, 2, 3, 2, 3, 3, 1, 3, 2, 3, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 1, 2, 2, 3, 3, 3, 2, 2, 2, 3, 2, 2, 3, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	7	1	96.15	1	70	[1, 0, 50, 17, 2]	[2, 3, 2, 2, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 4, 0, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 3, 2, 3, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	8	1	100.0	8	64	[5, 2, 37, 19, 1]	[2, 2, 4, 2, 0, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 1, 2, 2, 3, 3, 3, 3, 2, 2, 2, 3, 0, 2, 2, 2, 2, 3, 2, 3, 1, 3, 0, 2, 0, 2, 2, 3, 2, 2, 3, 2, 2, 3, 0, 2, 3, 2, 3, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	9	1	100.0	6	43	[5, 0, 28, 9, 1]	[3, 0, 2, 2, 0, 2, 3, 2, 2, 2, 0, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2, 4, 2, 3, 2, 3, 2, 2, 2, 0, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	10	0	0.0	0	71	[4, 5, 49, 13, 0]	[2, 1, 1, 2, 2, 2, 2, 0, 3, 2, 2, 2, 1, 3, 3, 3, 3, 2, 3, 2, 2, 2, 1, 0, 2, 3, 3, 2, 2, 2, 2, 2, 0, 2, 2, 3, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 3, 2, 3, 2, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16AD	11	0	0.0	0	71	[6, 0, 48, 16, 1]	[3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 0, 3, 2, 2, 2, 2, 3, 3, 2, 2, 0, 2, 3, 2, 2, 2, 2, 2, 2, 0, 3, 0, 2, 2, 0, 3, 2, 2, 3, 2, 2, 2, 4, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 0, 2, 2, 2, 3, 2, 3, 2, 2, 3]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	0	1	100.0	3	55	[1, 5, 37, 11, 1]	[2, 3, 2, 2, 3, 2, 3, 2, 3, 1, 3, 2, 2, 0, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 1, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 2, 2, 3, 2, 2, 2, 2, 1, 2, 2, 1, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	1	1	100.0	4	58	[2, 1, 43, 12, 0]	[3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 0, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 0, 2, 3, 2, 2, 3, 2, 2, 2, 2, 1, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	2	1	100.0	1	56	[1, 0, 38, 15, 2]	[3, 2, 3, 2, 2, 3, 3, 2, 3, 3, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 3, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 3, 2, 2, 0, 2, 2, 2, 2, 2, 4, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	3	1	100.0	1	38	[1, 0, 29, 8, 0]	[2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 0, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	4	1	100.0	3	45	[4, 0, 33, 8, 0]	[0, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 0, 3, 2, 0, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16B	5	0	54.27	4	69	[5, 3, 45, 15, 1]	[3, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 3, 3, 0, 2, 0, 2, 1, 2, 2, 2, 2, 0, 2, 2, 2, 3, 0, 2, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 3, 4, 2, 2, 2, 3, 2, 2, 3, 3, 3, 1]
